Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/31/1999,AQS,410030013,1,4.3,ug/m3 LC,18,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/3/1999,AQS,410030013,1,3.2,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/6/1999,AQS,410030013,1,5.8,ug/m3 LC,24,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/9/1999,AQS,410030013,1,3,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/12/1999,AQS,410030013,1,4.3,ug/m3 LC,18,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/15/1999,AQS,410030013,1,4.9,ug/m3 LC,20,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/18/1999,AQS,410030013,1,4.2,ug/m3 LC,18,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/21/1999,AQS,410030013,1,3.2,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
4/24/1999,AQS,410030013,1,7.1,ug/m3 LC,30,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/6/1999,AQS,410030013,1,4.1,ug/m3 LC,17,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/9/1999,AQS,410030013,1,3,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/12/1999,AQS,410030013,1,2.7,ug/m3 LC,11,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/15/1999,AQS,410030013,1,1.8,ug/m3 LC,8,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/18/1999,AQS,410030013,1,1.8,ug/m3 LC,8,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/21/1999,AQS,410030013,1,3.7,ug/m3 LC,15,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/24/1999,AQS,410030013,1,7.5,ug/m3 LC,31,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/27/1999,AQS,410030013,1,7.8,ug/m3 LC,33,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/30/1999,AQS,410030013,1,6.3,ug/m3 LC,26,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
5/31/1999,AQS,410030013,1,3.2,ug/m3 LC,13,Corvallis Circle Blvd. at FD #3,1,100,88101,PM2.5 - Local Conditions,18700,"Corvallis, OR",41,Oregon,3,Benton,44.5884,-123.2673
